article_id,title,source,url,publish_time,developer,tech_product,action_type,version_metric,date,event_complete_fields,extractor
ir_0,何小鹏：很多机器人公司没做好小脑，他们做的是“脑干、脊椎”,IT之家,https://www.ithome.com/0/957/507.htm,2026-5-30,小鹏,很多机器人,发布,,2026-05-30,4,OptimizedRegexExtractor
ir_1,《华为应用市场 2025 年度安全与隐私治理报告》发布，防护恶意应用安装 4928 万次,IT之家,https://www.ithome.com/0/957/777.htm,2026-5-31,华为,华为应用市场,发布,4928 万次,2026-05-31,5,OptimizedRegexExtractor
ir_2,丰田回应将中止雷克萨斯下一代纯电轿车开发：该信息属实,IT之家,https://www.ithome.com/0/957/693.htm,2026-5-30,,LF-ZC,发布,增长 4.6%,2026-05-30,4,OptimizedRegexExtractor
ir_3,苹果发布 iOS / iPadOS 26.6 首个公测版，新增“已达屏蔽联系人上限”提醒,IT之家,https://www.ithome.com/0/956/844.htm,2026-5-29,Apple,iOS / iPadOS 26.6,发布,26.6,2026-05-29,5,OptimizedRegexExtractor
ir_4,2026 年 6 月科技事件日历一览表,IT之家,https://www.ithome.com/0/957/722.htm,2026-5-31,,,升级,,2026-05-31,2,OptimizedRegexExtractor
ir_5,首个杜比视界认证 AR 眼镜套组，雷鸟 GT 系列正式亮相,IT之家,https://www.ithome.com/0/954/267.htm,2026-5-23,360,专业影视级 AR 眼镜,发布,3.0,2026-05-23,5,OptimizedRegexExtractor
ir_6,【IT之家评测室】《007：初露锋芒》游戏初体验：又一款电影化叙事佳作，NVIDIA DLSS 4.5 助力高帧流畅体验,IT之家,https://www.ithome.com/0/956/879.htm,2026-5-29,NVIDIA,DLSS 4.5,升级,4.5,2026-05-29,5,OptimizedRegexExtractor
ir_7,国补价 4099 元，联想拯救者 x DNF 手游联合设计 Y700 勇士版平板公布,IT之家,https://www.ithome.com/0/957/534.htm,2026-5-30,联想,至尊版处理器,发布,8.8,2026-05-30,5,OptimizedRegexExtractor
ir_8,抖音电商展开盲盒潮玩专项治理，严打概率不透明、引流等违规行为,IT之家,https://www.ithome.com/0/953/463.htm,2026-5-21,,9.9 元拆盲盒,,9.9,2026-05-21,3,OptimizedRegexExtractor
ir_9,刚领完奖金就买保时捷跑车，曝三星数亿韩元奖金让韩国上班族集体破防,IT之家,https://www.ithome.com/0/953/951.htm,2026-5-22,三星,如果不爽,,,2026-05-22,3,OptimizedRegexExtractor
ir_10,123 云盘：将对长期未登录的免费用户进行服务冻结,IT之家,https://www.ithome.com/0/957/721.htm,2026-5-31,,云盘今日,发布,,2026-05-31,3,OptimizedRegexExtractor
ir_11,WWDC26 预热：苹果下周将展示 14 篇 AI 论文，关联 iOS 27 版图乐园等,IT之家,https://www.ithome.com/0/956/830.htm,2026-5-29,Apple,iOS 27,发布,,2026-05-29,4,OptimizedRegexExtractor
ir_12,经典游戏《冒险岛》怀旧服致歉，交易系统、现金道具等调整内容公布,IT之家,https://www.ithome.com/0/957/705.htm,2026-5-31,,交易系统,升级,10%,2026-05-31,4,OptimizedRegexExtractor
ir_13,世界超级摩托车锦标赛阿拉贡站 WorldSSP 组别第一回合正赛：张雪机车位列第 8,IT之家,https://www.ithome.com/0/957/614.htm,2026-5-30,Apple,WorldSSP,,,2026-05-30,3,OptimizedRegexExtractor
ir_14,苏格兰儿童事务专员：没有证据表明社媒禁令能让孩子在网上更安全,IT之家,https://www.ithome.com/0/957/669.htm,2026-5-30,,目前关于禁令的证据仍然有限,适配,,2026-05-30,3,OptimizedRegexExtractor
ir_15,京东要开大商场，推出全新复合商业空间 JD SPACE 京东天地,IT之家,https://www.ithome.com/0/953/716.htm,2026-5-22,京东,全新复合商业空间,发布,,2026-05-22,4,OptimizedRegexExtractor
ir_16,酷态科 6 号 mini 充电器 99 → 65 元新低：2C+1A、支持 90W 小米澎湃秒充,IT之家,https://www.ithome.com/0/957/681.htm,2026-5-30,华为,ADC2.0,适配,90W,2026-05-30,5,OptimizedRegexExtractor
ir_17,重庆国资 34.5% 入主：消息称赛力斯 6 月将推新汽车品牌，字节跳动火山引擎深度参与,IT之家,https://www.ithome.com/0/957/485.htm,2026-5-30,字节跳动,晚点 Auto,发布,34.5,2026-05-30,5,OptimizedRegexExtractor
ir_18,三星 Galaxy Watch9 Classic 智能手表曝光，AI 智能洞察佩戴者健康,IT之家,https://www.ithome.com/0/957/453.htm,2026-5-30,三星,博文,发布,8 W,2026-05-30,5,OptimizedRegexExtractor
ir_19,AI 社会自治测试：Grok 四天崩溃、Gemini 犯罪率最高,IT之家,https://www.ithome.com/0/957/480.htm,2026-5-30,,每个智能体,发布,4.6,2026-05-30,4,OptimizedRegexExtractor
ir_20,雷军幽默回应武契奇“买不起小米汽车”：总统先生，YU7 标准版 23.35 万元,IT之家,https://www.ithome.com/0/955/664.htm,2026-5-27,小米,买不起小米汽车,适配,23.35,2026-05-27,5,OptimizedRegexExtractor
ir_21,猫头鹰 Noctua 预告 2026 台北电脑展将展示热虹吸一体式水冷散热器,IT之家,https://www.ithome.com/0/957/421.htm,2026-5-30,,预告,发布,2026 台,2026-05-30,4,OptimizedRegexExtractor
ir_22,Steam 手柄震动马达变身扬声器，可“演唱”任意歌曲,IT之家,https://www.ithome.com/0/957/775.htm,2026-5-31,GitHub,下载软件,升级,,2026-05-31,4,OptimizedRegexExtractor
ir_23,拘了！荣耀王飞汇报“博主虚假对比 Magic V6 与友商产品折痕”事件最新进展,IT之家,https://www.ithome.com/0/957/733.htm,2026-5-31,荣耀,博主虚假对比 Magic V6 与友商产品折痕,发布,,2026-05-31,4,OptimizedRegexExtractor
ir_24,LG 推出 32 英寸商用电子纸海报，2K 分辨率 E,IT之家,https://www.ithome.com/0/957/522.htm,2026-5-30,,操作系统,发布,17.8,2026-05-30,4,OptimizedRegexExtractor
ir_25,我国成功发射卫星互联网技术试验卫星，用于开展手机宽带直连卫星等技术试验验证,IT之家,https://www.ithome.com/0/957/696.htm,2026-5-31,,用于开展手机,,646 次,2026-05-31,3,OptimizedRegexExtractor
ir_26,鼓型风冷再进化：zalman 带来 260W TDP 新品 ZET7,IT之家,https://www.ithome.com/0/957/804.htm,2026-5-31,,上带来了鼓型处理器,,260W,2026-05-31,3,OptimizedRegexExtractor
ir_27,奕境曾清林谈辅助驾驶“智驾险”和“兜底承诺”差异，点赞比亚迪城市领航兜底“独一无二”,IT之家,https://www.ithome.com/0/957/788.htm,2026-5-31,华为,王传福,发布,,2026-05-31,4,OptimizedRegexExtractor
ir_28,微软 XBOX CEO 夏尔马承认发布会展示友商平台 logo 系“失误”，自己将对此负责,IT之家,https://www.ithome.com/0/957/622.htm,2026-5-30,微软,夏尔马承认发布会展示友商平台,发布,,2026-05-30,4,OptimizedRegexExtractor
ir_29,当AI遇上F5G,IT之家,https://www.ithome.com/0/957/209.htm,2026-5-29,华为,感官系统,升级,20 倍,2026-05-29,5,OptimizedRegexExtractor
ir_30,6999 → 4699 元：OPPO Find X8 Ultra 手机京东直降,IT之家,https://www.ithome.com/0/957/665.htm,2026-5-30,OPPO,至尊版处理器,发布,16GB,2026-05-30,5,OptimizedRegexExtractor
ir_31,雷鸟发布旗舰 AR 眼镜 GT / GT Max：最大 59 度视场角，1899 元起,IT之家,https://www.ithome.com/0/956/197.htm,2026-5-27,360,雷鸟 GT 系列,发布,86%,2026-05-27,5,OptimizedRegexExtractor
ir_32,【IT之家开箱】黑金配色，简约设计，绿联 NAS 私有云 DXP4800 GT 开箱图赏,IT之家,https://www.ithome.com/0/953/536.htm,2026-5-21,,UGREEN Logo,适配,3.2,2026-05-21,4,OptimizedRegexExtractor
ir_33,比亚迪城市领航兜底首例赔付落地：24 小时内完成技术判定，腾势 Z9GT 事故获确认,IT之家,https://www.ithome.com/0/957/802.htm,2026-5-31,比亚迪,辅助驾驶系统,发布,5.0,2026-05-31,5,OptimizedRegexExtractor
ir_34,宏碁推出多款游戏新品：两款笔记本、一款串流掌机，还有键盘、背包,IT之家,https://www.ithome.com/0/957/386.htm,2026-5-29,英伟达,多款游戏新品,发布,256GB,2026-05-29,5,OptimizedRegexExtractor
ir_35,影石刘靖康公布 Luna 相机第一人称套件测试视频，临时加需导致延迟到 6 月上市,IT之家,https://www.ithome.com/0/957/726.htm,2026-5-31,,很抱歉由于我临时加需求导致 Luna 相机延迟到 6 月上市,发布,6 倍,2026-05-31,4,OptimizedRegexExtractor
ir_36,火箭大爆炸后，消息称蓝色起源发射至少中断 6 个月,IT之家,https://www.ithome.com/0/957/711.htm,2026-5-31,,马斯克在社交平台,修复,,2026-05-31,3,OptimizedRegexExtractor
ir_37,全国首个绿色算力全栈 AI 平台在呼和浩特上线，兼容国产芯片与主流算力架构,IT之家,https://www.ithome.com/0/957/682.htm,2026-5-30,,兼容国产芯片,上线,,2026-05-30,3,OptimizedRegexExtractor
ir_38,消息称三星正研发手机液冷散热系统，有望解决 Galaxy 系列机型发热问题,IT之家,https://www.ithome.com/0/957/580.htm,2026-5-30,苹果,消息称三星正研发手机液冷散热系统,发布,,2026-05-30,4,OptimizedRegexExtractor
ir_39,微软 Win11 预览版焕新开始菜单：可隐藏推荐 / 固定区域，切换小尺寸,IT之家,https://www.ithome.com/0/957/457.htm,2026-5-30,微软,和所有应用,发布,26300.8553,2026-05-30,5,OptimizedRegexExtractor
ir_40,国产开放世界二游《望月》新实机发布，6 月 19 日开启线下试玩,IT之家,https://www.ithome.com/0/957/491.htm,2026-5-30,,其载具系统,发布,90%,2026-05-30,4,OptimizedRegexExtractor
ir_41,全球限 30 辆：奔驰 AMG CLE 63 Mythos 路测图曝光,IT之家,https://www.ithome.com/0/957/449.htm,2026-5-30,,CLE 63,发布,339.1,2026-05-30,4,OptimizedRegexExtractor
ir_42,200 万家尼泊尔商户能扫云闪付了，银联国际与 Fonepay 达成互联互通,IT之家,https://www.ithome.com/0/957/348.htm,2026-5-29,,云闪付网络支付平台,发布,95%,2026-05-29,4,OptimizedRegexExtractor
ir_43,消息称 Valve Steam Machine 初始定价已达 1000 美元，如今可能更贵,IT之家,https://www.ithome.com/0/957/703.htm,2026-5-31,,Valve Steam Machine,,512GB,2026-05-31,3,OptimizedRegexExtractor
